e76abf09-3148-42f6-85db-51edb09e72b7	66	Свердловская	Свердловская	обл	Свердловская область
c9d910a7-6693-415b-9b73-4ca18d2e9696	73	Ульяновская	Ульяновская	обл	Ульяновская область
5418576e-bfc1-454b-ac69-574e0e5d935f	32	Брянская	Брянская	обл	Брянская область
d893d76f-dfb5-4286-90a3-5b85b62a8740	76	Ярославская	Ярославская	обл	Ярославская область
bf92d04d-1755-474b-8047-62c1bdfe2de7	56	Оренбургская	Оренбургская	обл	Оренбургская область
5790dd72-0db1-4f26-99d9-6d37cc23e022	39	Калининградская	Калининградская	обл	Калининградская область
0040868d-2d79-4a00-b773-7e52022f81c6	29	Архангельская	Архангельская	обл	Архангельская область
bfa50780-cc45-4152-bc2d-7c888ec842e0	43	Кировская	Кировская	обл	Кировская область
90ed7075-0a35-4bcd-b753-8086099ec3aa	64	Саратовская	Саратовская	обл	Саратовская область
4b2fd043-fc95-458a-9921-82c24e202e12	51	Мурманская	Мурманская	обл	Мурманская область
391bac54-b519-4ee5-ba75-7b8ecb921410	45	Курганская	Курганская	обл	Курганская область
1ae9b068-1c65-4ab5-8b67-7b8fef389537	71	Тульская	Тульская	обл	Тульская область
76e1eb4f-5e1b-4a7a-b05c-8670e51feae2	48	Липецкая	Липецкая	обл	Липецкая область
05918e28-8be0-49ac-8d5a-8805011a1f95	68	Тамбовская	Тамбовская	обл	Тамбовская область
6ab75533-6d1b-44a8-a367-889782d25e3c	44	Костромская	Костромская	обл	Костромская область
1a8430ad-dcc9-43d9-81ea-948b90a25d8b	54	Новосибирская	Новосибирская	обл	Новосибирская область
6a1e8c00-af17-4538-9abd-9d6793f90312	69	Тверская	Тверская	обл	Тверская область
5f77834b-6351-4bcd-95af-a9ff7f6b511c	62	Рязанская	Рязанская	обл	Рязанская область
bd112c27-596a-4e61-9594-9dc4c40353b6	53	Новгородская	Новгородская	обл	Новгородская область
c7ad94cf-0b04-483a-bfbe-ac7dda487963	47	Ленинградская	Ленинградская	обл	Ленинградская область
202b72d2-40b8-40b0-816c-b2d4c984313d	30	Астраханская	Астраханская	обл	Астраханская область
b8324e81-4df1-4c4e-b203-c83d3eb477a6	60	Псковская	Псковская	обл	Псковская область
658a9adb-a096-4c02-9590-cefc1778b101	55	Омская	Омская	обл	Омская область
18489346-08c0-41f4-9a46-b9d1f5a819d9	33	Владимирская	Владимирская	обл	Владимирская область
bc7786a4-29dd-44f7-906c-c3bbf387896d	52	Нижегородская	Нижегородская	обл	Нижегородская область
af757d44-3438-4040-9b68-d95099318998	34	Волгоградская	Волгоградская	обл	Волгоградская область
113a7e07-5278-41fb-97ee-ef5eeabe7e58	65	Сахалинская	Сахалинская	обл	Сахалинская область
c707aaa3-e11d-4586-b6f3-f2761c50c203	74	Челябинская	Челябинская	обл	Челябинская область
576e57be-4398-44f3-a859-fafed91eff7b	36	Воронежская	Воронежская	обл	Воронежская область
db4d0a94-a5ad-468a-ba82-d046d1493155	13	Мордовия	Мордовия	Респ	Мордовия
e4746731-d12c-44f4-be11-ead92a3db015	17	Тыва	Тыва	Респ	Тыва
aad1469e-54ff-4605-af4f-f016c75b84d2	78	Санкт-Петербург	Санкт-Петербург	г	Санкт-Петербург
c55876c6-49f3-4b1a-bbee-da53b22cdd17	04	Алтай	Алтай	Респ	Алтай
bd8e6511-e4b9-4841-90de-6bbc231a789e	91	Крым	Крым	Респ	Крым
d25fa034-6dd9-4fbc-a692-f5dbd78d1863	03	Бурятия	Бурятия	Респ	Бурятия
23e710dd-6727-4dc1-ad50-eafb3f4634a4	07	Кабардино-Балкарская	Кабардино-Балкарская	Респ	Кабардино-Балкария
6fdecb78-893a-4e3f-a5ba-aa062459463b	92	Севастополь	Севастополь	г	Севастополь
edcd2476-fe82-461f-8f1f-f829eb304422	22	Алтайский	Алтайский	край	Алтайский край
0a1365ac-d68e-4834-8304-ebe35d10ea65	83	Ненецкий	Ненецкий	АО	Ненецкий АО
dd757d26-b490-4ea5-839f-fc8ded5d5469	63	Самарская	Самарская	обл	Самарская область
052751b8-8f2a-447d-a8b2-fc2068c7e613	61	Ростовская	Ростовская	обл	Ростовская область
